p,rate,pktsz,lat_median,lat_99th,mean_tput
0.5,10,1024,175576028.0,353655521.96,4.324631272727272
0.5,10,1280,112968345.0,252681422.69,6.31296
0.5,10,1518,83807167.0,196123933.81999993,7.49616
0.5,50,64,2068503160.0,3172763819.84,0.22386072727272727
0.5,50,128,2070501708.0,3171006193.19,0.36559745454545456
0.5,50,256,2017237115.0,3111279344.4399996,0.6962563636363637
0.5,50,512,1752067607.0,2603143697.16,1.374952727272727
0.5,50,1024,448139228.0,1060256196.1200007,3.1658356363636364
0.5,50,1280,262986112.0,492827924.7199999,3.6715054545454544
0.5,50,1518,164310877.0,306856179.0,6.7101120000000005
0.5,100,64,2437990989.0,3605636933.56,0.19144727272727274
0.5,100,128,2278555011.5,3532469709.0099998,0.32986763636363636
0.5,100,256,2145388690.0,3295760052.160001,0.674722909090909
0.5,100,512,2172779246.0,3119620106.7200003,1.3010385454545454
0.5,100,1024,1422944057.0,2258456503.56,2.7480436363636365
0.5,100,1280,709897431.0,1555224318.24,3.4756716363636366
0.5,100,1518,343314164.0,634883330.0999999,4.241138545454545
1,0.1,64,74954925.0,197948238.77,0.09157818181818181
1,0.1,128,73708496.0,191634065.65000004,0.08219927272727272
1,0.1,256,73797428.5,183475116.74000007,0.08285090909090909
1,0.1,512,72361879.0,154336685.22,0.07056290909090909
1,0.1,1024,92765034.0,175721524.39999998,0.09234618181818181
1,0.1,1280,87645060.0,174857889.73999998,0.11915636363636363
1,0.1,1518,75330082.0,176120157.45000002,0.105984
1,0.5,64,2628125661.0,4216131092.7200003,0.13984000000000002
1,0.5,128,675781030.0,1579955998.4799995,0.2422690909090909
1,0.5,256,77914936.0,196852204.51999998,0.45977599999999996
1,0.5,512,74408822.0,194154219.15999997,0.47364654545454543
1,0.5,1024,69153372.0,180908295.84,0.46619927272727274
1,0.5,1280,89907438.5,197870549.62,0.5315490909090909
1,0.5,1518,91589365.0,193306572.22999996,0.565248
1,1,64,3251328368.0,5284623948.08,0.1322472727272727
1,1,128,2345987634.0,4305998479.900002,0.23196545454545453
1,1,256,171970369.0,1502568823.0999994,0.6382607272727273
1,1,512,77794854.0,200122616.77999997,0.9505807272727274
1,1,1024,70060760.0,188267065.53,0.932521090909091
1,1,1280,89574180.5,197703948.70000002,1.009228
1,1,1518,88367973.0,195205444.36,1.0516825454545455
1,10,64,3963822022.5,6103403756.459999,0.114188
1,10,128,3678619353.0,5780075819.119999,0.1778330909090909
1,10,256,3428654931.0,5085634009.160001,0.37742
1,10,512,2076418155.5,3484463669.85,0.7476425454545454
1,10,1024,374484650.5,562079365.75,2.3753076363636367
1,10,1280,321405609.0,504121167.04,3.5738825454545453
1,10,1518,191568704.0,423928865.12,4.4277145454545455
1,50,64,3638127284.0,5941978723.900001,0.11215163636363636
1,50,128,3772618230.0,5961882271.0,0.1893298181818182
1,50,256,3463670498.5,5581490583.23,0.36429418181818185
1,50,512,3050946959.5,4983442454.7699995,0.7271625454545454
1,50,1024,635988998.0,1260355791.5999997,1.5655392727272726
1,50,1280,467179931.0,649761573.0,1.8819552727272728
1,50,1518,359736818.0,576993451.14,3.2028265454545455
1,100,64,3958518090.5,6409700750.02,0.10738072727272727
1,100,128,3859586090.0,6092065832.15,0.16917563636363636
1,100,256,3742032560.0,6120373732.0,0.3367392727272728
1,100,512,3724327298.0,6166953211.08,0.6547378181818182
1,100,1024,1923863058.0,3199095909.78,1.4303712727272728
1,100,1280,937736678.5,1704965221.0499997,1.941068
1,100,1518,488017229.0,788200171.44,2.4846745454545456
